"Species","Category","LMR","MaxMass..mg.","mSeed..mg.","Dist..m.","Gmax","Memo..weeks.","SLA.comb.","Palat","Clonal","meanSpacerLength..cm.","sdSpacerLength..cm.","Resshare","Note","STE_I1","ANA_I1","BLS_I1","ALP_I1","ATL_I1","BOR_I1","CON_I1","PAN_I1","MED_I1","MAC_I1"
"Abutilon theophrasti","Non-crop",0.5,5000,1,0.1,60,2,0.26849529412,0.25,"0","0","0","0","",1,0,0,0,0,0,0,0,0,0
"Achillea crithmifolia","Non-crop",1,1000,0.1,0.6,60,2,0.5,0.25,"1","2.5","2.5","1","",0,0,1,0,0,0,0,0,0,0
"Achillea millefolium aggr.","Non-crop",1,2000,0.1,0.6,40,4,0.5,0.25,"1","2.5","2.5","1","",0,0,0,1,1,1,1,1,0,0
"Achillea setacea","Non-crop",1,1000,0.1,0.6,60,2,0.5,0.25,"1","2.5","2.5","1","",1,0,0,0,0,0,0,0,0,0
"Adonis aestivalis","Non-crop",0.5,1000,1,0.1,20,6,0.4207,NA,"0","0","0","0","",0,0,0,0,0,0,0,1,0,0
"Adonis eriocalycina","Non-crop",0.5,1000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Adonis flammea","Non-crop",0.5,1000,1,0.1,20,6,0.5,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Adonis microcarpa","Non-crop",0.5,1000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Aegilops triuncialis","Non-crop",0.5,1000,1,0.1,60,2,0.190848443,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Aethionema saxatile","Non-crop",0.5,1000,0.3,0.3,60,2,0.123000864010086,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Aethusa cynapium","Non-crop",0.5,2000,1,0.1,60,2,0.3509,NA,"0","0","0","0","",0,0,0,0,0,0,1,1,0,0
"Agrostemma githago","Non-crop",0.5,2000,1,0.1,60,2,0.23112,NA,"0","0","0","0","",0,1,0,1,0,0,0,1,1,0
"Agrostis capillaris","Non-crop",0.5,1000,0.1,0.6,60,2,0.227682256967162,1,"0","0","0","0","",0,0,0,0,1,1,0,0,0,0
"Agrostis gigantea","Non-crop",0.5,2000,0.1,0.6,60,2,0.245733602958248,1,"1","2.5","2.5","1","",0,0,0,1,0,0,0,0,0,0
"Agrostis stolonifera","Non-crop",0.5,1000,0.1,0.6,60,2,0.264862365834607,1,"1","17.5","17.5","1","",0,0,0,0,1,1,1,0,0,0
"Ajuga chamaepitys","Non-crop",0.5,1000,1,0.1,20,6,0.2248,NA,"0","0","0","0","",0,0,0,0,0,0,0,1,0,0
"Alcea acaulis","Non-crop",0.5,5000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Alopecurus myosuroides","Non-crop",0.5,1000,1,0.1,40,4,0.304866666666667,NA,"0","0","0","0","",0,0,0,0,1,0,0,0,1,0
"Alyssum praecox","Non-crop",0.5,1000,0.1,0.6,NA,NA,NA,NA,"0","0","0","0","Turkey",0,1,0,0,0,0,0,0,0,0
"Alyssum simplex","Non-crop",1,1000,1,0.1,20,6,0.5,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Amaranthus albus","Non-crop",0.5,1000,0.3,0.3,20,6,0.5,0.25,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Amaranthus blitoides","Non-crop",0.5,1000,1,0.1,60,2,0.18140457057314,0.25,"0","0","0","0","",1,0,1,0,0,0,0,0,0,0
"Amaranthus hybridus","Non-crop",0.5,2000,0.3,0.3,40,4,0.5,0.25,"0","0","0","0","",0,0,0,0,0,0,0,1,0,0
"Amaranthus retroflexus","Non-crop",0.5,2000,0.3,0.3,60,2,0.227054990386731,0.25,"0","0","0","0","",1,0,1,1,0,0,1,1,0,0
"Ambrosia artemisiifolia","Non-crop",0.5,2000,1,0.1,60,2,0.261950259495862,NA,"0","0","0","0","",1,0,0,0,0,0,0,1,0,0
"Anacyclus clavatus","Non-crop",0.5,1000,0.3,0.3,40,4,0.175041,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Anagallis arvensis","Non-crop",0.5,1000,0.3,0.3,40,4,0.311468910622667,1,"0","0","0","0","",1,0,1,1,1,0,1,1,1,0
"Anagallis foemina","Non-crop",0.5,1000,0.3,0.3,20,6,0.5,1,"0","0","0","0","",0,0,0,0,0,0,0,1,1,0
"Anchusa azurea","Non-crop",0.5,2000,1,0.3,60,2,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Androsace maxima","Non-crop",1,1000,1,0.1,40,4,0.2113625,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Andryala pinnatifida","Non-crop",1,2000,0.3,0.3,NA,NA,NA,NA,"0","0","0","0","Canary island",0,0,0,0,0,0,0,0,0,1
"Anemone blanda","Non-crop",0.5,1000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Anisantha diandra","Non-crop",0.5,1000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Anisantha rigida","Non-crop",0.5,1000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Anisantha sterilis","Non-crop",0.5,2000,1,0.1,40,4,0.5,1,"0","0","0","0","",0,0,0,0,0,0,0,1,1,0
"Anisantha tectorum","Non-crop",0.5,1000,1,0.1,40,4,0.5,1,"0","0","0","0","",0,0,1,0,0,0,0,0,1,0
"Anogramma leptophylla","Non-crop",0.5,1000,0.1,0.6,40,4,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Anthemis arvensis","Non-crop",0.5,1000,1,0.1,60,2,0.269227499645769,NA,"0","0","0","0","",0,0,0,1,0,1,1,1,1,0
"Anthemis ruthenica","Non-crop",0.5,1000,0.3,0.3,60,2,0.3071,NA,"0","0","0","0","",0,0,0,0,0,0,0,1,0,0
"Anthoxanthum aristatum","Non-crop",0.5,1000,0.3,0.3,40,4,0.5,NA,"0","0","0","0","",0,0,0,0,1,0,0,0,0,0
"Apera spica-venti","Non-crop",0.5,2000,0.1,0.6,60,2,0.2502,NA,"0","0","0","0","",0,0,1,1,1,1,1,1,0,0
"Aphanes arvensis","Non-crop",0.5,1000,0.3,0.3,40,4,0.305529411764706,NA,"0","0","0","0","",0,0,0,0,1,0,1,1,1,0
"Apium graveolens","Non-crop",1,2000,0.3,0.3,60,2,0.5,1,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Arabidopsis thaliana","Non-crop",1,1000,0.1,0.6,20,6,0.31528054145,NA,"0","0","0","0","",1,0,0,0,1,1,1,1,1,0
"Arabis laxa","Non-crop",1,1000,0.1,0.6,40,4,0.5,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Arabis verna","Non-crop",1,1000,0.1,0.6,40,4,0.5,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Arenaria leptoclados","Non-crop",0.5,1000,0.1,0.6,20,6,0.5,NA,"0","0","0","0","",1,0,0,0,0,0,0,0,0,0
"Arenaria serpyllifolia","Non-crop",0.5,1000,0.1,0.6,20,6,0.17313557289556,0.25,"0","0","0","0","",0,0,1,1,1,1,1,1,0,0
"Argentina anserina","Non-crop",0.5,1000,1,0.1,40,4,0.5,0.25,"1","17.5","17.5","1","",0,0,0,1,0,1,0,0,0,0
"Arnoseris minima","Non-crop",1,1000,0.3,0.3,40,4,0.3268,NA,"0","0","0","0","",0,0,0,0,1,0,0,0,0,0
"Arrhenatherum elatius","Non-crop",0.5,2000,1,0.1,60,2,0.253924758329144,1,"0","0","0","0","",0,0,0,0,1,0,0,0,0,0
"Artemisia austriaca","Non-crop",0.5,1000,0.1,0.6,60,2,0.5,0.25,"0","0","0","0","",1,0,0,0,0,0,0,0,0,0
"Artemisia santonicum","Non-crop",0.5,2000,0.3,0.3,40,4,0.15807,0.25,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Artemisia vulgaris","Non-crop",0.5,5000,0.1,0.6,60,2,0.266349344446275,0.5,"1","2.5","2.5","1","",0,0,0,1,0,1,1,1,0,0
"Asparagus officinalis","Non-crop",0.5,2000,1,0.1,60,2,0.10439637701,0.25,"1","17.5","17.5","1","",1,0,0,0,0,0,0,0,0,0
"Asperula arvensis","Non-crop",0.5,1000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Asperula cynanchica","Non-crop",0.5,1000,1,0.1,60,2,0.133781212120909,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Asplenium ceterach","Non-crop",1,1000,0.1,0.6,40,4,0.5,0.25,"1","2.5","2.5","1","",0,1,0,0,0,0,0,0,0,0
"Asplenium obovatum","Non-crop",1,1000,0.1,0.6,40,4,0.5,0.25,"1","2.5","2.5","1","",0,1,0,0,0,0,0,0,0,0
"Astragalus glycyphyllos","Non-crop",0.5,2000,1,0.1,60,2,0.2287,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Atriplex patula","Non-crop",0.5,2000,1,0.1,60,2,0.1747,0.25,"0","0","0","0","",0,0,0,1,1,0,1,1,0,0
"Avena barbata","Crop",0.5,2000,1,0.1,20,6,0.229458604073793,1,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Avena fatua","Crop",0.5,2000,1,0.1,60,2,0.27214615086,1,"0","0","0","0","",0,0,1,1,0,0,1,1,0,0
"Avena sativa","Crop",0.5,2000,1,0.1,60,2,0.219743880214565,1,"0","0","0","0","",0,0,0,1,0,0,1,0,1,0
"Avena sterilis","Crop",0.5,2000,1,0.1,60,2,0.20405,1,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Barbarea intermedia","Non-crop",1,1000,0.3,0.3,60,2,0.2198,1,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Berberis crataegina","Non-crop",0.5,5000,1,0.1,NA,NA,NA,1,"","","","","Turkey",0,1,0,0,0,0,0,0,0,0
"Bidens pilosus","Non-crop",1,2000,1,0.1,40,4,0.5,0.25,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Bifora radians","Non-crop",0.5,1000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Bifora testiculata","Non-crop",1,1000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Biscutella auriculata","Non-crop",1,2000,0.3,0.3,40,4,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Briza maxima","Non-crop",0.5,2000,1,0.1,20,6,0.201282770657143,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Bromopsis inermis","Non-crop",0.5,2000,1,0.1,40,4,0.196754374998401,1,"1","2.5","2.5","1","",1,0,0,0,0,0,0,0,0,0
"Bromus arvensis","Non-crop",0.5,2000,1,0.1,60,2,0.1676163131325,1,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Bromus hordeaceus","Non-crop",0.5,2000,1,0.1,60,2,0.240328056111782,1,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Bromus secalinus","Non-crop",0.5,2000,1,0.1,60,2,0.5,1,"0","0","0","0","",0,0,0,0,0,1,0,0,0,0
"Bufonia tenuifolia","Non-crop",0.5,1000,0.1,0.6,40,4,0.5,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Buglossoides arvensis","Non-crop",0.5,1000,1,0.1,60,2,0.19332590493,0.25,"0","0","0","0","",1,0,0,1,0,0,1,1,1,0
"Bupleurum affine","Non-crop",0.5,2000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Bupleurum commutatum","Non-crop",0.5,1000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Calendula arvensis","Non-crop",1,1000,1,0.1,20,6,0.25766025,0.25,"0","0","0","0","",0,0,0,0,0,0,0,0,1,1
"Calystegia sepium","Non-crop",0.5,5000,1,0.1,60,2,0.204932493950135,NA,"1","17.5","17.5","1","",0,0,0,1,1,0,0,0,0,0
"Camelina microcarpa","Crop",0.5,1000,0.1,0.6,20,6,0.1987872093,1,"0","0","0","0","",1,0,0,0,0,0,0,1,1,0
"Camelina rumelica","Crop",0.5,1000,0.3,0.3,40,4,0.5,1,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Campanula rapunculoides","Non-crop",0.5,2000,0.1,0.6,60,2,0.7511,NA,"1","17.5","17.5","1","",0,0,0,1,0,0,0,0,0,0
"Capsella bursa-pastoris","Non-crop",1,1000,0.1,0.6,20,6,0.333905720655367,1,"0","0","0","0","",1,0,0,1,1,1,1,1,1,0
"Cardamine hirsuta","Non-crop",1,1000,0.1,0.6,60,2,0.284896616833333,NA,"0","0","0","0","",0,0,0,0,1,0,0,0,0,0
"Carduus acanthoides","Non-crop",0.75,2000,1,0.1,60,2,0.06419,0.25,"0","0","0","0","",0,0,1,0,0,0,0,1,0,0
"Carduus tenuiflorus","Non-crop",0.75,2000,1,0.1,20,6,0.75,0.25,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Carex praecox","Non-crop",0.5,1000,0.1,0.6,60,2,0.1605,NA,"1","2.5","2.5","1","",1,0,0,0,0,0,0,0,0,0
"Carthamus lanatus","Non-crop",1,2000,1,0.1,20,6,0.103591294117647,0.5,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Caucalis platycarpos","Non-crop",0.5,1000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,1,0
"Centaurea diffusa","Non-crop",1,1000,1,0.1,40,4,0.17927598981125,0.25,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Centaurea scabiosa","Non-crop",1,2000,1,0.1,60,2,0.155138317242174,0.25,"1","2.5","2.5","1","",0,0,0,1,0,0,0,0,1,0
"Centaurea solstitialis","Non-crop",1,2000,1,0.1,60,2,0.199715690890909,0.25,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Centranthus calcitrapae","Non-crop",0.75,1000,0.1,0.6,20,6,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Cerastium cerastoides","Non-crop",0.5,1000,0.1,0.6,40,4,0.388626378726912,0.25,"1","2.5","2.5","1","",0,1,0,0,0,0,0,0,0,0
"Cerastium comatum","Non-crop",0.5,1000,0.1,0.6,40,4,0.5,0.25,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Cerastium fontanum subsp. vulgare","Non-crop",0.5,1000,0.1,0.6,40,4,0.5,0.25,"1","2.5","2.5","1","",0,0,0,1,1,1,1,0,0,0
"Cerastium glomeratum","Non-crop",1,1000,0.1,0.6,20,6,0.272814497539048,0.25,"0","0","0","0","",0,0,0,0,0,0,0,1,1,1
"Ceratochloa cathartica","Non-crop",0.5,2000,0.3,0.3,40,4,0.5,1,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Chenopodiastrum hybridum","Non-crop",0.5,2000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,0,1,0,0,0,1,0,0
"Chenopodium album aggr.","Non-crop",0.5,2000,0.3,0.3,40,4,0.5,1,"0","0","0","0","",1,0,1,1,1,1,1,1,1,0
"Chenopodium vulvaria","Non-crop",0.5,1000,0.3,0.3,40,4,0.3149,1,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Cichorium intybus","Non-crop",1,2000,1,0.1,60,2,0.187377842465249,1,"0","0","0","0","",1,0,1,0,0,0,0,0,0,0
"Cirsium arvense","Non-crop",1,2000,1,0.1,60,2,0.186265595285725,0.25,"1","2.5","2.5","1","",1,0,1,1,1,1,1,1,1,0
"Clematis flammula","Non-crop",0.5,5000,1,0.1,60,2,0.1513,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Conringia orientalis","Non-crop",0.75,1000,1,0.1,40,4,0.3017384135,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Consolida hispanica","Non-crop",0.5,2000,0.3,0.3,40,4,0.5,NA,"0","0","0","0","",1,1,0,0,0,0,0,0,0,0
"Consolida regalis","Non-crop",0.5,2000,1,0.1,40,4,0.2422,1,"0","0","0","0","",1,1,1,1,0,1,1,1,0,0
"Convolvulus arvensis","Non-crop",0.5,2000,1,0.1,60,2,0.248887149746877,1,"1","17.5","17.5","1","",1,0,1,1,1,1,1,1,1,1
"Convolvulus cantabrica","Non-crop",0.5,1000,1,0.1,60,2,0.167411666666667,1,"1","17.5","17.5","1","",0,0,1,0,0,0,0,0,0,0
"Coronilla scorpioides","Non-crop",0.5,1000,1,0.1,20,6,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Corydalis conorhiza","Non-crop",0.5,1000,1,0.1,40,4,0.25161088749,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Corydalis solida","Non-crop",0.5,1000,1,0.1,60,2,0.4307625,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Cota austriaca","Non-crop",0.5,1000,0.3,0.3,40,4,0.22314175,NA,"0","0","0","0","",1,0,0,0,0,0,0,1,0,0
"Cota tinctoria","Non-crop",0.5,2000,0.3,0.3,40,4,0.5,NA,"1","2.5","2.5","1","",0,0,1,0,0,0,0,0,0,0
"Crepis setosa","Non-crop",0.5,1000,0.1,0.6,40,4,0.38637425,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Crepis tectorum","Non-crop",0.5,1000,0.3,0.3,60,2,0.204633824955,NA,"0","0","0","0","",0,0,0,0,0,1,0,0,0,0
"Cyanus segetum","Non-crop",0.5,2000,1,0.1,40,4,0.2961155,NA,"0","0","0","0","",1,0,0,1,1,1,1,1,1,0
"Cynanchum acutum","Non-crop",0.5,5000,1,0.1,40,4,0.5,0.25,"1","17.5","17.5","1","",1,0,0,0,0,0,0,0,0,0
"Cynodon dactylon","Non-crop",0.5,1000,0.1,0.6,60,2,0.139723489894837,1,"1","2.5","2.5","1","",1,0,1,0,0,0,0,1,1,0
"Cyperus rotundus","Non-crop",0.5,1000,0.1,0.6,40,4,0.5,1,"1","2.5","2.5","1","",0,0,0,0,0,0,0,0,0,1
"Dactylis glomerata","Non-crop",0.5,2000,1,0.1,60,2,0.253425883879411,1,"1","2.5","2.5","1","",0,0,0,0,1,1,0,0,0,0
"Dasypyrum villosum","Non-crop",0.5,2000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Daucus carota","Crop",0.5,2000,1,0.1,60,2,0.165519806420811,1,"0","0","0","0","",0,0,0,1,0,0,1,1,1,0
"Descurainia sophia","Non-crop",1,2000,0.1,0.6,60,2,0.209084967333333,1,"0","0","0","0","",1,0,0,0,0,0,0,1,0,0
"Dianthus corymbosus","Non-crop",1,1000,0.3,0.3,40,4,0.5,0.25,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Dianthus pseudarmeria","Non-crop",1,1000,0.3,0.3,40,4,0.5,0.25,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Digitaria sanguinalis","Non-crop",1,1000,0.3,0.3,40,4,0.338570098328918,1,"0","0","0","0","",0,0,0,0,0,0,0,1,0,1
"Diplotaxis erucoides","Non-crop",1,1000,0.1,0.6,20,6,0.5,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,1,0
"Diplotaxis muralis","Non-crop",1,1000,0.1,0.6,60,2,0.5,NA,"0","0","0","0","",1,0,0,0,0,0,0,0,0,0
"Diplotaxis tenuifolia","Non-crop",0.5,2000,0.3,0.3,60,2,0.2244,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Draba bryoides","Non-crop",0.5,1000,0.1,0.6,NA,NA,NA,NA,"","","","","Turkey",0,1,0,0,0,0,0,0,0,0
